2024-11-30 22:46:28 [main] INFO  com.webcrawler.CustomGraphDatabase - Connecting to Neo4j database at URI: bolt://localhost:7687
2024-11-30 22:46:29 [main] INFO  com.webcrawler.App - Starting crawl...
2024-11-30 22:46:29 [main] INFO  com.webcrawler.Crawler - Starting crawl for URL: https://www.who.int/
2024-11-30 22:46:29 [main] INFO  com.webcrawler.Crawler - Crawling: https://www.who.int/ (Depth: 0)
2024-11-30 22:46:30 [main] INFO  com.webcrawler.Crawler - Title of https://www.who.int/: World Health Organization (WHO)
2024-11-30 22:46:30 [main] INFO  com.webcrawler.CustomGraphDatabase - Page saved successfully: https://www.who.int/
2024-11-30 22:46:30 [main] INFO  com.webcrawler.Crawler - Database write time: 1582 ms
2024-11-30 22:46:30 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/#content
2024-11-30 22:46:30 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/#
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.afro.who.int/
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.paho.org/hq/index.php?lang=en
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/southeastasia
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/europe/
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=http://www.emro.who.int/index.html
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/westernpacific/
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://donate.who.foundation/?utm_source=donate_button&utm_medium=who&utm_campaign=global_english
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://donate.who.foundation/?utm_source=donate_button&utm_medium=who&utm_campaign=global_english
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#A
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#B
2024-11-30 22:46:31 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#C
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#D
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#E
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#F
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#G
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#H
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#I
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#J
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#K
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#L
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#M
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#N
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#O
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#P
2024-11-30 22:46:32 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#Q
2024-11-30 22:46:33 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#R
2024-11-30 22:46:33 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#S
